num,date,air_pressure,high_tem,aver_tem,low_tem,humidity,sunlight_time,wind_direction,wind_speed,rain_accum
1,2020-10-1,1009.5,26.9,25.8,24.6,83,0.2,90,16,7.6
2,2020-10-2,1010.9,28.8,26.7,25.5,76,6.6,90,14,0
3,2020-10-3,1011.5,29.5,27.2,25.6,79,9.2,90,10,0
4,2020-10-4,1010.3,32,27.8,25.9,78,9.3,202.5,7,0
5,2020-10-5,1011.3,30.5,26.9,24.8,83,2.7,90,12,3.6
6,2020-10-6,1013.9,27.2,25.2,23.6,80,0.4,22.5,17,1.4
7,2020-10-7,1015,25.5,23.7,22.3,75,0,22.5,21,0
8,2020-10-8,1015.5,26.5,23.7,22,71,5.4,22.5,20,0
9,2020-10-9,1015.2,28.2,24.2,21.8,68,7.6,360,15,0
10,2020-10-10,1013.1,29,24.9,22.4,68,9.5,22.5,12,0
11,2020-10-11,1010.6,30,25.9,23.3,75,8.8,22.5,10,0
12,2020-10-12,1008.9,30.2,27.2,24.4,73,9.9,22.5,12,0
13,2020-10-13,1009.4,26.8,24.5,23,88,0,45,25,26.2
14,2020-10-14,1012.4,26.1,25,23.7,82,0,67.5,28,1.8
15,2020-10-15,1013.7,29.6,25.8,24.2,74,7.6,67.5,18,0
16,2020-10-16,1013.6,29.6,26,24.3,76,4.4,22.5,14,0
17,2020-10-17,1015,26.8,24.4,21.9,76,4,22.5,18,0.8
18,2020-10-18,1015.9,27.1,23.8,20.8,72,7.9,22.5,17,0.1
19,2020-10-19,1016.3,26.3,23,20.6,71,4.3,22.5,19,0.1
20,2020-10-20,1015.6,27.1,23.2,20.3,69,8,360,16,0
21,2020-10-21,1012.7,26.3,22.6,19.6,66,9.1,360,18,0
22,2020-10-22,1010,26.4,23.1,20.7,62,8.2,360,22,0
23,2020-10-23,1011.8,24,22.4,20.5,52,1.7,22.5,23,0
24,2020-10-24,1014.1,23.6,22.2,19.5,56,0.1,22.5,18,0.4
25,2020-10-25,1015,27.5,23.3,21.2,70,5.8,90,11,0
26,2020-10-26,1013.8,27.8,23.8,21.8,78,9.6,90,11,0
27,2020-10-27,1013,29.3,24.4,21.8,77,9.3,90,13,0
28,2020-10-28,1015.1,24.5,23.1,21.5,84,0,22.5,12,8.2
29,2020-10-29,1017.7,25.3,22.9,21.2,86,0.3,22.5,14,1.2
30,2020-10-30,1018.5,26.6,23.2,21.7,82,2.6,22.5,12,0.1
31,2020-10-31,1017.9,25.8,22.2,20.7,76,3.1,90,11,0.1
1,2020-11-1,1016.2,27,23.4,20.9,73,8.4,22.5,6,0
2,2020-11-2,1015.7,27.9,23.9,20.8,71,8.4,360,13,0
3,2020-11-3,1017.3,26,22.6,19.8,70,4.6,22.5,14,0.1
4,2020-11-4,1017.7,26.4,22.2,19.5,72,6.5,90,12,0.1
5,2020-11-5,1017.9,26.3,22.4,19.9,70,9.6,90,10,0
6,2020-11-6,1016.4,28.7,24.1,19.8,68,9.2,22.5,8,0
7,2020-11-7,1016.2,29.1,25.4,22.4,58,9.5,360,13,0
8,2020-11-8,1017.4,27.8,24.7,22.8,59,5.3,22.5,17,0
9,2020-11-9,1018,27,23.2,21.3,54,7.4,22.5,16,0
10,2020-11-10,1019.4,23.7,22,21,58,0,22.5,13,0
11,2020-11-11,1021,25.6,22,20.4,64,6.8,22.5,12,0
12,2020-11-12,1019.2,26,21.4,18.6,65,9.8,22.5,12,0
13,2020-11-13,1017.2,25.7,22,19.3,60,0.9,22.5,14,0.1
14,2020-11-14,1017.8,24.2,22,20.5,66,0.2,22.5,16,0.1
15,2020-11-15,1019.4,26.1,21.9,20.1,81,2.3,22.5,10,0.4
16,2020-11-16,1018.2,28.4,23.1,20,79,9.6,22.5,8,0
17,2020-11-17,1015.6,25.3,23.2,21.4,81,4.5,90,13,0.1
18,2020-11-18,1013.4,27.8,23.8,22.5,84,1.5,112.5,8,0
19,2020-11-19,1012.2,27.9,24.2,22.4,90,3.7,157.5,6,1
20,2020-11-20,1013,30.5,24.8,22.8,86,7.8,157.5,6,0.1
21,2020-11-21,1014.8,23.5,22.7,22,92,0,90,13,0
22,2020-11-22,1017.5,29.5,24.2,21.8,84,7.7,22.5,8,0.2
23,2020-11-23,1019.7,24.1,22.5,21.4,84,0.9,90,14,0.1
